Name,Age,MP,ThreePoints,AST,FG,FT,TOV,DRB,FGA,TRB,ORB,FTA,STL,BLK,PF,PointsPerGame,Salary,Season
Kenneth Faried,29,9.8,0.1,0.2,2.1,0.8,0.5,2.4,3.5,3.7,1.3,1.3,0.2,0.3,0.7,5.1,13764045.0,NBA_2019
Mitch Creek,26,9.0,0.0,1.3,1.3,1.3,0.0,1.3,2.5,2.5,1.3,1.8,0.3,0.0,0.8,3.8,94742.0,NBA_2019
Tahjere McCall,24,8.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,4.0,47371.0,NBA_2019
Džanan Musa,19,4.3,0.1,0.2,1.0,0.0,0.4,0.4,2.4,0.6,0.1,0.2,0.2,0.0,0.1,2.1,1632240.0,NBA_2019
Aaron Gordon,23,33.8,1.6,3.7,6.0,2.4,2.1,5.7,13.4,7.4,1.7,3.2,0.7,0.7,2.2,16.0,21590909.0,NBA_2019
Evan Fournier,26,31.5,1.9,3.6,5.8,1.7,1.9,2.7,13.2,3.2,0.5,2.1,0.9,0.1,2.8,15.1,17000000.0,NBA_2019
Nikola Vučević,28,31.4,1.1,3.8,8.8,2.2,2.0,9.2,16.9,12.0,2.8,2.8,1.0,1.1,2.0,20.8,12750000.0,NBA_2019
D.J. Augustin,31,28.0,1.6,5.3,3.9,2.2,1.6,2.0,8.4,2.5,0.5,2.6,0.6,0.0,1.4,11.7,7250000.0,NBA_2019
Jonathan Isaac,21,26.6,1.1,1.1,3.5,1.5,1.0,4.2,8.1,5.5,1.3,1.8,0.8,1.3,1.9,9.6,4969080.0,NBA_2019
Terrence Ross,27,26.5,2.7,1.7,5.4,1.6,1.1,3.1,12.7,3.5,0.3,1.8,0.9,0.4,1.5,15.1,10500000.0,NBA_2019
Michael Carter-Williams,27,18.9,0.3,4.1,1.8,1.7,0.8,3.4,5.2,4.8,1.3,2.3,0.9,0.8,1.8,5.4,198580.0,NBA_2019
Wesley Iwundu,24,18.1,0.4,1.1,1.7,1.2,0.6,2.2,4.0,2.7,0.5,1.5,0.4,0.3,1.8,5.0,1378242.0,NBA_2019
Mohamed Bamba,20,16.3,0.4,0.8,2.5,0.8,0.9,3.6,5.2,5.0,1.4,1.3,0.3,1.4,2.2,6.2,4865040.0,NBA_2019
Jerian Grant,26,15.7,0.7,2.6,1.5,0.4,0.9,1.3,3.7,1.6,0.3,0.7,0.7,0.1,1.3,4.2,2639314.0,NBA_2019
Isaiah Briscoe,22,14.3,0.3,2.2,1.4,0.4,0.8,1.8,3.5,1.9,0.1,0.7,0.3,0.1,1.7,3.5,838464.0,NBA_2019
Khem Birch,26,12.9,0.0,0.8,1.8,1.2,0.4,2.2,3.0,3.8,1.6,1.7,0.4,0.6,1.4,4.8,1378242.0,NBA_2019
Jarell Martin,24,7.8,0.5,0.4,1.0,0.2,0.3,1.5,2.5,1.7,0.3,0.3,0.1,0.2,1.2,2.7,2416222.0,NBA_2019
Melvin Frazier,22,4.4,0.0,0.1,0.7,0.1,0.1,0.2,2.1,0.5,0.3,0.4,0.1,0.0,0.6,1.5,1050000.0,NBA_2019
Blake Griffin,29,35.0,2.5,5.4,8.3,5.5,3.4,6.2,17.9,7.5,1.3,7.3,0.7,0.4,2.7,24.5,32088932.0,NBA_2019
Andre Drummond,25,33.5,0.1,1.4,7.1,3.1,2.2,10.2,13.3,15.6,5.4,5.2,1.7,1.7,3.4,17.3,25434263.0,NBA_2019
Reggie Jackson,28,27.9,2.1,4.2,5.4,2.5,1.8,2.1,12.8,2.6,0.5,2.9,0.7,0.1,2.5,15.4,17043478.0,NBA_2019
Wayne Ellington,31,27.3,2.9,1.5,4.1,0.9,0.9,1.9,9.8,2.1,0.3,1.2,1.1,0.1,1.9,12.0,2383076.0,NBA_2019
Luke Kennard,22,22.8,1.7,1.8,3.6,0.8,0.9,2.7,8.3,2.9,0.2,1.0,0.4,0.2,1.5,9.7,3275280.0,NBA_2019
Ish Smith,30,22.3,0.8,3.6,3.7,0.8,1.1,2.2,8.7,2.6,0.4,1.1,0.5,0.2,1.9,8.9,6000000.0,NBA_2019
Langston Galloway,27,21.8,1.7,1.1,2.9,1.0,0.3,1.5,7.3,2.1,0.6,1.2,0.5,0.1,1.7,8.4,7000000.0,NBA_2019
Bruce Brown,22,19.6,0.3,1.2,1.7,0.6,0.6,1.9,4.2,2.5,0.6,0.8,0.5,0.5,2.4,4.3,838464.0,NBA_2019
Thon Maker,21,19.4,0.8,0.9,1.7,1.2,0.8,2.8,4.6,3.7,0.8,1.6,0.4,1.1,1.7,5.5,2799720.0,NBA_2019
Glenn Robinson,25,13.0,0.4,0.4,1.6,0.7,0.4,1.1,3.7,1.5,0.4,0.9,0.3,0.2,1.0,4.2,4075000.0,NBA_2019
Jos� Calder�n,37,12.9,0.3,2.3,0.9,0.2,0.7,1.0,2.4,1.2,0.2,0.2,0.3,0.1,1.3,2.3,2393887.0,NBA_2019
Zaza Pachulia,34,12.9,0.0,1.3,1.3,1.4,0.8,2.4,2.8,3.9,1.5,1.8,0.5,0.3,2.2,3.9,2393887.0,NBA_2019
Henry Ellenson,22,12.5,1.0,0.5,2.0,1.0,0.0,4.5,5.0,4.5,0.0,1.0,0.0,0.0,1.0,6.0,1857480.0,NBA_2019
Jon Leuer,29,9.8,0.0,0.3,1.6,0.6,0.6,1.7,2.8,2.4,0.7,0.8,0.3,0.1,1.5,3.8,10002681.0,NBA_2019
Khyri Thomas,22,7.5,0.4,0.3,0.8,0.3,0.2,0.6,2.7,0.8,0.2,0.4,0.3,0.2,0.8,2.3,838464.0,NBA_2019
Sviatoslav Mykhailiuk,21,6.7,0.7,1.3,0.7,0.0,0.3,0.3,2.7,0.7,0.3,0.0,0.3,0.0,0.0,2.0,1487694.0,NBA_2019
Kemba Walker,28,34.9,3.2,5.9,8.9,4.6,2.6,3.8,20.5,4.4,0.6,5.5,1.2,0.4,1.6,25.6,12000000.0,NBA_2019
Nicolas Batum,30,31.4,1.5,3.3,3.4,1.0,1.6,4.3,7.5,5.2,0.9,1.2,0.9,0.6,1.9,9.3,24000000.0,NBA_2019
Jeremy Lamb,26,28.5,1.5,2.2,5.5,2.9,1.0,4.7,12.4,5.5,0.8,3.3,1.1,0.4,1.8,15.3,7488372.0,NBA_2019
Marvin Williams,32,28.4,1.9,1.2,3.7,0.9,0.6,4.4,8.7,5.4,1.0,1.1,0.9,0.8,2.1,10.1,14087500.0,NBA_2019
Cody Zeller,26,25.4,0.1,2.1,3.9,2.3,1.3,4.6,7.0,6.8,2.2,2.9,0.8,0.8,3.3,10.1,13528090.0,NBA_2019
Miles Bridges,20,21.2,0.8,1.2,3.0,0.7,0.6,3.2,6.4,4.0,0.8,1.0,0.7,0.6,1.4,7.5,3206640.0,NBA_2019
Michael Kidd-Gilchrist,25,18.4,0.3,1.0,2.5,1.5,0.7,2.5,5.2,3.8,1.4,1.9,0.5,0.6,2.4,6.7,13000000.0,NBA_2019
Tony Parker,36,17.9,0.2,3.7,3.8,1.6,1.3,1.2,8.3,1.5,0.3,2.2,0.4,0.1,0.9,9.5,5000000.0,NBA_2019
Dwayne Bacon,23,17.7,0.9,1.1,2.8,0.8,0.4,1.9,6.0,2.1,0.2,1.1,0.3,0.1,1.7,7.3,1378242.0,NBA_2019
Malik Monk,20,17.2,1.5,1.6,3.1,1.2,1.2,1.7,8.0,1.9,0.2,1.4,0.5,0.3,1.5,8.9,3447480.0,NBA_2019
Frank Kaminsky,25,16.1,1.1,1.3,2.9,1.7,0.9,2.6,6.3,3.5,0.8,2.3,0.3,0.3,1.4,8.6,3627842.0,NBA_2019
Devonte' Graham,23,14.7,0.7,2.6,1.6,0.8,0.7,1.2,4.7,1.4,0.2,1.0,0.5,0.0,1.0,4.7,988464.0,NBA_2019
Bismack Biyombo,26,14.5,0.0,0.6,1.6,1.1,0.6,3.1,2.9,4.6,1.5,1.7,0.2,0.8,1.9,4.4,17000000.0,NBA_2019
Willy Hernang�mez,24,14.0,0.3,1.0,2.6,1.7,1.0,3.3,5.1,5.4,2.0,2.5,0.3,0.3,1.7,7.3,1544951.0,NBA_2019
Shelvin Mack,28,10.5,0.0,0.3,0.5,1.3,1.0,0.5,3.5,0.5,0.0,2.3,0.5,0.0,0.8,2.3,2029463.0,NBA_2019
Josh Richardson,25,34.8,2.2,4.1,5.8,2.7,1.5,2.9,14.1,3.6,0.7,3.2,1.1,0.5,2.7,16.6,9367200.0,NBA_2019
Justise Winslow,22,29.7,1.5,4.3,4.9,1.3,2.2,4.4,11.3,5.4,1.0,2.1,1.1,0.3,2.7,12.6,3448926.0,NBA_2019
Goran Dragić,32,27.5,1.6,4.8,5.0,2.2,2.0,2.5,12.0,3.1,0.6,2.8,0.8,0.1,2.3,13.7,18109175.0,NBA_2019
Dwyane Wade,37,26.2,1.2,4.2,5.8,2.3,2.3,3.0,13.3,4.0,1.0,3.2,0.8,0.5,1.6,15.0,2393887.0,NBA_2019
Dion Waiters,27,25.9,2.5,2.8,4.5,0.5,1.5,2.5,10.9,2.6,0.2,1.0,0.7,0.2,1.6,12.0,11550000.0,NBA_2019
Bam Adebayo,21,23.3,0.0,2.2,3.4,2.0,1.5,5.3,5.9,7.3,2.0,2.8,0.9,0.8,2.5,8.9,2955840.0,NBA_2019
Hassan Whiteside,29,23.3,0.0,0.8,5.4,1.5,1.3,7.8,9.4,11.3,3.6,3.4,0.6,1.9,2.7,12.3,25434263.0,NBA_2019
Kelly Olynyk,27,22.9,1.4,1.8,3.3,1.9,1.4,3.8,7.1,4.7,0.9,2.3,0.7,0.5,2.3,10.0,12137527.0,NBA_2019
James Johnson,31,21.2,0.9,2.5,3.0,0.9,1.3,2.8,6.9,3.2,0.4,1.3,0.6,0.5,2.1,7.8,14651700.0,NBA_2019
Derrick Jones,21,19.2,0.5,0.6,2.7,1.2,0.7,2.4,5.4,4.0,1.6,2.0,0.8,0.7,2.1,7.0,1512601.0,NBA_2019
Duncan Robinson,24,10.7,0.7,0.3,1.2,0.3,0.3,1.1,3.1,1.3,0.1,0.4,0.3,0.0,0.7,3.3,9474.0,NBA_2019
Udonis Haslem,38,7.4,0.0,0.2,1.1,0.3,0.3,2.4,3.3,2.7,0.3,0.4,0.0,0.0,0.9,2.5,2393887.0,NBA_2019
Yante Maten,22,6.5,0.0,0.0,0.5,0.0,0.0,1.0,2.0,1.5,0.5,0.0,0.5,0.0,0.0,1.0,14211.0,NBA_2019
Ryan Anderson,30,4.4,0.2,0.2,0.2,0.1,0.2,0.5,0.9,0.9,0.4,0.2,0.1,0.0,0.2,0.7,20421546.0,NBA_2019
Emanuel Terry,22,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,47371.0,NBA_2019
Bradley Beal,25,36.9,2.5,5.5,9.3,4.4,2.7,3.9,19.6,5.0,1.1,5.5,1.5,0.7,2.8,25.6,25434263.0,NBA_2019
John Wall,28,34.5,1.6,8.7,7.7,3.8,3.8,3.2,17.3,3.6,0.5,5.5,1.5,0.9,2.2,20.7,19169800.0,NBA_2019
Trevor Ariza,33,34.1,2.2,3.8,4.8,2.2,1.6,4.5,11.8,5.3,0.8,2.8,1.2,0.3,2.0,14.1,15000000.0,NBA_2019
Bobby Portis,23,27.4,1.7,1.5,5.6,1.4,1.6,6.4,12.8,8.6,2.3,1.7,0.9,0.4,3.0,14.3,2494346.0,NBA_2019
Jabari Parker,23,27.3,1.0,2.7,6.0,2.1,2.7,5.7,11.4,7.2,1.5,3.0,0.9,0.6,2.3,15.0,20000000.0,NBA_2019
Jeff Green,32,27.2,1.4,1.8,4.2,2.4,1.3,3.3,8.9,4.0,0.7,2.7,0.6,0.5,2.1,12.3,2393887.0,NBA_2019
